"Variable","Coefficient","g_prior_selected"
"BetaLag1",1.05631035228214,TRUE
"CapEx2RevenueLag1",0.745158400709195,TRUE
"CashFlow2RevenueLag1",0.834602653162761,TRUE
"COGS2RevenueCAGRLag1",-0.377019309035737,FALSE
"ConversionCycleLag1",0.283927051918755,FALSE
"ConversionCycleCAGRLag1",0.280846002493078,FALSE
"CurrentRatioLag1",0.53541355387747,TRUE
"EBITmarginLag1",0.758402307109767,TRUE
"EPSLag1",0.722033332262797,TRUE
"InventoryTurnoverLag1",1.11971726349462,FALSE
"InventoryTurnoverCAGRLag1",1.26457238204782,FALSE
"PEratioLag1",1.23427929458148,TRUE
"WorkingCap2RevenueLag1",-0.129344977400432,FALSE
"MarketCapGrowthLag1",0.395370147413591,FALSE
"RevPerEmployeeLag1",0.134662764440901,FALSE
"RevenueGrowthLag1",-0.159935319939159,FALSE
"SGandALag1",0.228893572297052,FALSE
"InventoryCostLag1",0.296431981462555,FALSE
"InventoryTurnover2Lag1",0.349326838759404,FALSE
"NetWorkingCapLag1",0.396391955007061,FALSE
"GrossMarginLag1",0.11931857592059,FALSE
"AssetTurnoverLag1",0.18119872827583,FALSE
"LeverageLag1",-0.485329797646421,FALSE
"QuickRatioLag1",0.113099623317274,FALSE
"DividendYieldLag1",0.572133909891984,FALSE
"BetaLag2",0.195717086833564,FALSE
"CapEx2RevenueLag2",0.367027870602345,TRUE
"CashFlow2RevenueLag2",1.34497745588329,TRUE
"COGS2RevenueLag2",0.943824117928043,FALSE
"COGS2RevenueCAGRLag2",0.883289855627895,TRUE
"ConversionCycleLag2",1.29678076656797,TRUE
"ConversionCycleCAGRLag2",0.604764065294527,FALSE
"EBITmarginLag2",0.784378039662803,TRUE
"EPSLag2",0.341885970145765,FALSE
"InventoryTurnoverLag2",0.740178868144061,TRUE
"InventoryTurnoverCAGRLag2",1.23115848284638,TRUE
"PEratioLag2",0.443014606661164,FALSE
"Revenue2RDLag2",0.883986758089474,FALSE
"WorkingCap2RevenueLag2",0.643072465149222,FALSE
"ROALag2",0.184908111317408,FALSE
"MarketCapGrowthLag2",-0.403142349676177,FALSE
"RevPerEmployeeLag2",0.374151665640266,FALSE
"RevenueGrowthLag2",-0.147467983058153,FALSE
"SGandALag2",-0.134057594595311,FALSE
"OperatingCashFlowLag2",0.412996427302554,FALSE
"InventoryCostLag2",-0.222571577096606,FALSE
"NetWorkingCapLag2",-0.155097620587006,FALSE
"LeverageLag2",0.578678412268565,FALSE
"DividendYieldLag2",-0.707181734632144,FALSE
